Poster Category	Easel Board	Poster Title	Students	Faculty	Mount ID	Side	X Coordinate	Y Coordinate	Orientation	Color
Chemistry	C-17	Is Water a Mixture? Unsupervised Likelihood Ratio Classification Reveals Two States Merge into One	Michael Yao	"Bilin Zhuang, Assistant Professor of Chemistry, PhD, California Institute of Technology"	CHC1EXTRA	South	721	922	horizontal	#ff3131
Computer Science	CS-1	Learning from Interval to Interval Updates - An Uncertain Journey	Alice Yuan	"Erin Talvitie, Professor of Computer Science"	CS1CS2	North	387	831	horizontal	#6abfe2
Computer Science	CS-2	Transistors to Transformers: Traveling Underneath Prompt-Space	"Tara Mahesh, Aramis Thai-Garcia"	"Zach Dodds, Leonhard-Johnson-Rae Professor of Computer Science, Entrepreneurship Studio Director"	CS1CS2	South	387	831	horizontal	#6abfe2
Computer Science	CS-3	Lighthouse: Generative Engine Optimization Auditing and Measurement	Abdullah Ali	"Zach Dodds, Leonhard-Johnson-Rae Professor of Computer Science, Entrepreneurship Studio Director"	CS3CS4	West	445	831	vertical	#6abfe2
Computer Science	CS-4	An Open-Source Platform for Studying Conversational Interventions	"May Li, Heidi Repp"	"Jonathan Chang ’17, Assistant Professor of Computer Science"	CS3CS4	East	445	831	vertical	#6abfe2
Computer Science	CS-5	Examining Visual Similarity Judgements in Humans and Vision Models	"Thomas Le, Jessica Keodara, Scarlet Rutter"	"Calden Wloka, Assistant Professor of Computer Science"	CS5CS6	West	497	831	vertical	#6abfe2
Computer Science	CS-6	Do Depth Models See What We Think They See? Probing Model Reliance on Monocular Depth Cues	Arushi Bhandari	"Calden Wloka, Assistant Professor of Computer Science"	CS5CS6	East	497	831	vertical	#6abfe2
Computer Science	CS-7	Understanding The Role of Public Transit During Disaster Events	Jasmine Sampat	"Lynn Kirabo, Maria M. Klawe Assistant Professor of Climate and Computer Science"	CS7CS8	West	548	831	vertical	#6abfe2
Computer Science	CS-8	Uncertainty Inference in Neural Networks	Sofia Segal	"Erin Talvitie, Professor of Computer Science"	CS7CS8	East	548	831	vertical	#6abfe2
Computer Science	CS-9	The Role of Conversation Features in LLM Summarization	Stella Li	"Jonathan Chang ’17, Assistant Professor of Computer Science"	CS9CS10	West	600	831	vertical	#6abfe2
Computer Science	CS-10	Self-Evolving Agent Societies: Autonomous Software Evolution Through Experience Feedback	Tianyi Zhang	Jiaxuan You UIUC	CS9CS10	East	600	831	vertical	#6abfe2
Computer Science	CS-11	"Infrastructure for Insight: Custom APIs + Interactive Activities for CS5, Infrastructure, & Embeddings"	Addie Myers	"Zach Dodds, Leonhard-Johnson-Rae Professor of Computer Science, Entrepreneurship Studio Director"	CSP3C11	East	600	711	vertical	#6abfe2
"Computer Science, Engineering, Mathematics, Physics"	CSEMP-1	Neural Network Warm Starting for Spacecraft Trajectory Optimization	Grace Williams	"Roger Hooper, NASA Marshall Spaceflight Center and Dr. Peter McDonough, Amentum"	CSEMP1CSEP1	North	387	711	horizontal	#2b68ba
